dish_name,food_type,kitchen_notes,duplicate_rows,has_photo,legacy_dish_ids
Aloo & Pea Tikki Cheese Burger (Wheat Burger),,,,yes,1751068956809x556265520042649150
Aloo Channa Chat (White And Black Channa),,,,no,1751068956812x785709064418025300
Bagels With Cream Cheese,,,,yes,1751068956808x434891866366537540
Banana And Honey Shake,,,2,yes,1751068956813x101483837751406690 | 1751068957566x302678275476653300
Banana Shake,,,,yes,1779449140811x569879533872676740
Bhel Puri Salad,,,,yes,1751068956812x783511747475615000
Blueberry Muffin,,,2,yes,1751068956805x636647856382776400 | 1779449140814x964330968712913400
Boiled Egg Mix In Brown Wheat Multigrain Sub Sandwich,,,,yes,1751068956809x565964505118322900
Boiled Eggs (3 pcs),,,,yes,1779449140805x998293772833065500
Brown Wheat Brownie With Choco Sauce,,,,yes,1751068956805x173763608008315600
Brown Wheat Pasta With Mushroom And Pesto Cream Sauce,,,,no,1751068957565x375934141297079360
Brown Wheat Pasta With Veg And Tomato Sauce,,,,yes,1751068957565x370002508235305800
Brownie Shake,,,,yes,1779449140812x575803748111743040
Butter Corn,,,,yes,1751068957565x800981728189924500
Carrot And Raisin Cake,,,,yes,1751068956804x820523134006956500
Chana Rice,,,,yes,1779449140810x731494902361811600
Cheese Garlic Bread (Maida Bread),,,,yes,1751068956809x796477323085994200
Choco Muffin,,,,yes,1751068956805x764116958381420700
Chocolate Doughnut,,,,yes,1779449140813x265442094742111900
Chocolate Muffin,,,,yes,1779449140813x342013160528765760
Chole Masala With Rice /Wheat Prantha /Wheat Atta Kulcha,,,,yes,1751068956811x959695653570769400
Cold Coffee,,,2,yes,1751068957564x640273735166589400 | 1779449140811x332934727636901000
Corn and Cheese Puff,,,,yes,1779449140809x220913038397098080
Corn And Mix Pepper Salad,,,,yes,1751068956812x480724353239390100
Corn and Pepper Sandwich,,,,yes,1779449140809x456924985028412900
Dal Makhni With Rice/Wheat Prantha,,,,yes,1751068956811x899033102354014100
Egg Roll (Atta Wrap),,,,yes,1751068956811x660338023605968600
Egg Sandwich,,,,yes,1779449140809x655270608909390200
Eggless Brownie,,,,yes,1779449140813x687006561270116600
French Butter Croissant,,,,yes,1751068956804x307346726140140600
French Toast with Choco Syrup,,,,yes,1779449140806x206081468704266900
Fried Rice With Exotic Veg,,,,yes,1751068956811x610991847600959000
Fried Rice with Manchurian,,,,yes,1779449140811x374358487804802750
Fruit Salad,,,,yes,1751068956813x664916371811283800
Hot Choco Milk,,,,yes,1751068956813x621942374217471900
Hot Chocolate Chocolate,,,,yes,1779449140811x318146422163813950
Hot Coffee,,,,yes,1751068957564x483261028215033340
Idli Sambar,,,,yes,1779449140806x193032194737593700
Lemon Ice Tea,,,2,yes,1751068956814x489412216784268000 | 1779449140811x167420404257264000
Lemonade,,,,yes,1751068956814x819085531963631900
Mango Shake,,,,yes,1779449140812x650563047183700700
Mango Shake (Seasonal),,,,yes,1751068956813x251651141909131170
Masala Corn,,,,yes,1751068957565x156602631589117800
Mexican Style Veg Filling Wrap (Atta Wrap),,,,yes,1751068956810x202618328802040000
Mix Veg Poha,,,,yes,1779449140806x346491320241788740
Mixed Fruits,,,,yes,1779449140808x206833398330332540
Mushroom Croissant (Maida Base),,,,yes,1751068956809x907509860918670500
Omelette w Toast,,,,yes,1779449140805x388231208917267000
Oreo Shake,,,,yes,1779449140812x753190154787433700
Pain Au Chocolat,,,,yes,1751068956804x656330743180066700
Pancakes w Honey,,,,yes,1779449140806x477366637079625000
Paneer Croissant (Maida Base),,,,yes,1751068956809x795650377231993400
Paneer Gravy With Rice /Wheat Prantha,,,,yes,1751068956811x689699990859977200
Paneer Jalferzi Wrap (Atta Wrap),,,,yes,1751068956809x629236588467374500
Paneer Puff,,,,yes,1779449140809x494690560453747900
Paneer Sandwich,,,,yes,1779449140809x908188532520013700
Paneer Tikka Sandwich In Focaccia Bread,,,,yes,1751068956805x155143217195583100
Paneer Wrap,,,,yes,1779449140807x884156469936501300
Peach Ice Tea,,,2,yes,1751068956814x900098835367759000 | 1779449140811x329057596426032260
Quinoa Khichdi,,,,yes,1779449140810x752114686422033400
Quinoa Salad,,,,yes,1751068956813x569682156705211260
Rajma Rice,,,,yes,1779449140810x961113269333929200
Rajma With Rice Or Prantha,,,,yes,1751068956811x458739705102099840
Scrambled Egg w Toast,,,,yes,1779449140806x709927428863947400
Sprouts,,,,yes,1779449140808x834907511420349700
Strawberry Shake,,,,yes,1779449140813x858431197571919200
Strawberry Shake (Seasonal),,,,yes,1751068956814x870381594421953900
Stuffed Paratha,,,,yes,1779449140806x422240165857332740
Tea,,,,yes,1751068957564x545175872992901500
Three Beans Salad,,,,yes,1751068956813x468595151498087500
"Tomato, Cucumber Cheese Sandwich In Brown Bread",,,2,yes,1751068956805x153486284508529860 | 1751068957564x244673467482757540
Vada Pao (Atta Base Bread),,,,yes,1751068956809x950160930414243100
Veg and Cheese Sandwich,,,,yes,1779449140809x406105864955550500
Veg Chilly Puff (Maida),,,,yes,1751068956809x201360143180394180
Veg Hot Dog,,,,yes,1779449140813x257214124201923230
Veg Manchurian With Fried Rice,,,,yes,1751068956811x329156539650981000
Veg Sandwich In Brown Bread,,,,yes,1751068956805x388091610578040500
Veggie Wrap,,,,yes,1779449140807x283731477430231740
Wheat Jaggery Cake,,,,yes,1751068956804x158696559691264600
