name,kitchen_code,category,food_type,confidence,why,ingredients
Aloo & Pea Tikki Cheese Burger (Wheat Burger),sky-bites,quick-bites,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Potato, Green Peas, Corn Flour, Bread Crumb, Salt, Pepper, Oregano Mix, Cheese"
Aloo Channa Chat (White And Black Channa),sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,"White And Black Channa, Onion, Tomato, Mix Spice, Green Chutney, Tomato Sauce"
Bagels With Cream Cheese,sky-bites,sandwich,veg,low,"contains mayonnaise — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains mayo — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen. contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.","Maida Base Bread, Tomato, Cucumber, Cream Cheese, Salt, Pepper, Mayonnaise"
Banana And Honey Shake,sky-bites,drinks,veg,high,no egg or meat in the name or the ingredient list,"Banana, Milk, Sugar, Ice"
Banana Shake,sky-bites,drinks,veg,low,contains ice cream — some contain egg.,"Banana, milk, sugar, ice cream"
Bhel Puri Salad,sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,"Bhel, Onion, Tomato, Green Chutney, Saunf Chutney"
Blueberry Muffin,sky-bites,bakery,veg,high,no egg or meat in the name or the ingredient list,"Flour (Maida), Sugar, Baking Powder, Baking Soda, Refined Soybean Oil, Blueberry Filling"
Boiled Egg Mix In Brown Wheat Multigrain Sub Sandwich,sky-bites,sandwich,egg,high,names egg,"Boiled Egg, Cucumber, Parsley, Mayonnaise, Salt, Pepper"
Boiled Eggs (3 pcs),sky-bites,breakfast,egg,high,names eggs,"Eggs, salt"
Brown Wheat Brownie With Choco Sauce,sky-bites,bakery,veg,high,no egg or meat in the name or the ingredient list,"Atta, Sugar, Dark Chocolate, Cocoa Powder, Butter"
Brown Wheat Pasta With Mushroom And Pesto Cream Sauce,sky-bites,continental,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Boiled Pasta, Tomato Sauce, Cheese, White Sauce, Mushroom, Seasoning Mix"
Brown Wheat Pasta With Veg And Tomato Sauce,sky-bites,continental,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Boiled Pasta, Tomato Sauce, Veggies, Cheese"
Brownie Shake,sky-bites,drinks,veg,low,contains ice cream — some contain egg.,"Brownie, milk, chocolate ice cream"
Butter Corn,sky-bites,salads,veg,high,no egg or meat in the name or the ingredient list,"Steamed Corn, Butter"
Carrot And Raisin Cake,sky-bites,bakery,veg,high,no egg or meat in the name or the ingredient list,"Fresh Grated Carrot, Curd, Brown Sugar, Refined Soybean Oil, Maida, Baking Soda"
Chana Rice,sky-bites,meals,veg,high,no egg or meat in the name or the ingredient list,"Chickpeas, rice, onion, tomato gravy"
Cheese Garlic Bread (Maida Bread),sky-bites,quick-bites,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Mozzarella Cheese, Garlic, Butter, Chilli Flakes, Oregano Mix"
Choco Muffin,sky-bites,bakery,veg,high,no egg or meat in the name or the ingredient list,"Flour (Maida), Sugar, Baking Powder, Baking Soda, Refined Soybean Oil, Dark Chocolate"
Chocolate Doughnut,sky-bites,bakery,veg,high,no egg or meat in the name or the ingredient list,"Flour, cocoa, milk, sugar"
Chocolate Muffin,sky-bites,bakery,egg,high,names eggs,"Flour, cocoa powder, milk, eggs"
Chole Masala With Rice /Wheat Prantha /Wheat Atta Kulcha,sky-bites,meals,,unknown,no ingredient list — not guessed from the name alone,
Cold Coffee,sky-bites,drinks,veg,high,no egg or meat in the name or the ingredient list,"Coffee, milk, sugar, ice"
Corn and Cheese Puff,sky-bites,bakery,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Puff pastry, cheese, corn"
Corn And Mix Pepper Salad,sky-bites,salads,veg,low,"contains mayo — eggless mayo is standard in Indian kitchens, but egg mayo exists. Ask the kitchen.","Corn, Mix Capsicum, Mayo, Mustard, Parsley, Salt, Pepper"
Corn and Pepper Sandwich,sky-bites,sandwich,veg,low,contains cheese — vegetarian rennet is usual here but is not guaranteed by the name.,"Bread, corn, capsicum, cheese"
Dal Makhni With Rice/Wheat Prantha,sky-bites,meals,,unknown,no ingredient list — not guessed from the name alone,
Egg Roll (Atta Wrap),sky-bites,quick-bites,egg,high,"names egg, omelette",Egg Omelette With Veggies With Mayo Sauce In Brown Wrap
Egg Sandwich,sky-bites,sandwich,egg,high,"names egg, eggs","Eggs, bread, mayonnaise, butter"
Eggless Brownie,sky-bites,bakery,veg,high,the dish states it is eggless,"Flour, cocoa powder, butter, chocolate"
French Butter Croissant,sky-bites,bakery,veg,low,contains a bread improver — these occasionally carry enzymes of animal origin.,"Maida, Brown Sugar, Salt, Gluten, Improver, Cow Butter, Fresh Cream, Fresh Yeast"
