unique id,dish,menu,price,category,is_active,available_days
1760601626814x674749388242421100,Wheat Jaggery Cake,Sky Bites - Amity,69,Bakery,yes,
1760601626829x980104753778126700,French Butter Croissant,Sky Bites - Amity,109,Bakery,yes,
1760601626844x949070619601893200,Pain Au Chocolat,Sky Bites - Amity,139,Bakery,yes,
1760601626860x888859168705805600,Carrot And Raisin Cake,Sky Bites - Amity,69,Bakery,yes,
1760601626875x398430072908140000,"Tomato, Cucumber Cheese Sandwich In Brown Bread",Sky Bites - Amity,99,Sandwich,yes,
1760601626888x283728034355367420,Paneer Tikka Sandwich In Focaccia Bread,Sky Bites - Amity,109,Sandwich,yes,
1760601626903x351204880136290560,Brown Wheat Brownie With Choco Sauce,Sky Bites - Amity,109,Bakery,yes,
1760601626919x523086534056745660,Veg Sandwich In Brown Bread,Sky Bites - Amity,99,Sandwich,yes,
1760601626932x763036113456583000,Blueberry Muffin,Sky Bites - Amity,69,Bakery,yes,
1760601626947x253071541749555940,Choco Muffin,Sky Bites - Amity,69,Bakery,yes,
1760601626976x389285769688559200,Bagels With Cream Cheese,Sky Bites - Amity,129,Sandwich,yes,
1760601626990x694363635372681600,Veg Chilly Puff (Maida),Sky Bites - Amity,69,Quick Bites,yes,
1760601627004x652478735457288100,Aloo & Pea Tikki Cheese Burger (Wheat Burger),Sky Bites - Amity,109,Quick Bites,yes,
1760601627015x159576561488616640,Boiled Egg Mix In Brown Wheat Multigrain Sub Sandwich,Sky Bites - Amity,109,Sandwich,yes,
1760601627030x215056916626046080,Paneer Jalferzi Wrap (Atta Wrap),Sky Bites - Amity,109,Quick Bites,yes,
1760601627040x710365433467006800,Paneer Croissant (Maida Base),Sky Bites - Amity,139,Sandwich,yes,
1760601627054x618118945254762900,Cheese Garlic Bread (Maida Bread),Sky Bites - Amity,109,Quick Bites,yes,
1760601627075x263619398778571330,Mushroom Croissant (Maida Base),Sky Bites - Amity,139,Sandwich,yes,
1760601627091x867334406194742800,Vada Pao (Atta Base Bread),Sky Bites - Amity,79,Quick Bites,yes,
1760601627114x670754250981724400,Mexican Style Veg Filling Wrap (Atta Wrap),Sky Bites - Amity,109,Quick Bites,yes,
1760601627133x834298803485431600,Veg Manchurian With Fried Rice,Sky Bites - Amity,120,Meals,yes,
1760601627158x963383153113099800,Rajma With Rice Or Prantha,Sky Bites - Amity,120,Meals,yes,
1760601627174x285580388425942700,Fried Rice With Exotic Veg,Sky Bites - Amity,120,Meals,yes,
1760601627187x101034440360043170,Egg Roll (Atta Wrap),Sky Bites - Amity,109,Quick Bites,yes,
1760601627198x868408252941673700,Paneer Gravy With Rice /Wheat Prantha,Sky Bites - Amity,120,Meals,yes,
1760601627216x928312082711355500,Dal Makhni With Rice/Wheat Prantha,Sky Bites - Amity,120,Meals,yes,
1760601627233x652317753759148500,Chole Masala With Rice /Wheat Prantha /Wheat Atta Kulcha,Sky Bites - Amity,120,Meals,yes,
1760601627248x942944669477519000,Corn And Mix Pepper Salad,Sky Bites - Amity,109,Salads,yes,
1760601627265x689748217861244200,Bhel Puri Salad,Sky Bites - Amity,59,Salads,yes,
1760601627280x227100477496761100,Aloo Channa Chat (White And Black Channa),Sky Bites - Amity,109,Salads,yes,
1760601627321x767274691622753500,Mango Shake (Seasonal),Sky Bites - Amity,109,Drinks,yes,
1760601627340x772137416309360400,Three Beans Salad,Sky Bites - Amity,109,Salads,yes,
1760601627359x910839413333048600,Quinoa Salad,Sky Bites - Amity,109,Salads,yes,
1760601627373x263978831870786300,Hot Choco Milk,Sky Bites - Amity,109,Drinks,yes,
1760601627389x342436666316150000,Fruit Salad,Sky Bites - Amity,109,Salads,yes,
1760601627406x795640786128384300,Lemon Ice Tea,Sky Bites - Amity,109,Drinks,yes,
1760601627423x608274970973652700,Lemonade,Sky Bites - Amity,109,Drinks,yes,
1760601627440x272077801571498000,Strawberry Shake (Seasonal),Sky Bites - Amity,129,Drinks,yes,
1760601627453x997684566657778400,Peach Ice Tea,Sky Bites - Amity,109,Drinks,yes,
1760601627943x791609290362217200,"Tomato, Cucumber Cheese Sandwich In Brown Bread",Sky Bites - Amity,99,Sandwich,yes,
1760601627964x777105249764733400,Hot Coffee,Sky Bites - Amity,59,Drinks,yes,
1760601627983x451612715184641860,Tea,Sky Bites - Amity,40,Drinks,yes,
1760601628005x680286463858051700,Cold Coffee,Sky Bites - Amity,109,Drinks,yes,
1760601628028x282254295137252200,Masala Corn,Sky Bites - Amity,109,Salads,yes,
1760601628055x260065822309720760,Brown Wheat Pasta With Veg And Tomato Sauce,Sky Bites - Amity,129,Continental,yes,
1760601628076x645714276282586500,Brown Wheat Pasta With Mushroom And Pesto Cream Sauce,Sky Bites - Amity,129,Continental,yes,
1760601628105x391725203066141760,Butter Corn,Sky Bites - Amity,109,Salads,yes,
1760601628128x226384879999763870,Banana And Honey Shake,Sky Bites - Amity,109,Drinks,yes,
1779450090914x662592333169012900,Banana Shake,School Menu - May 2026,89,Drinks,,
1779450090917x738299111633868800,Blueberry Muffin,School Menu - May 2026,89,Bakery,,
1779450090920x586195597869769500,Boiled Eggs (3 pcs),School Menu - May 2026,89,Breakfast,,
1779450090931x945649932585253000,Brownie Shake,School Menu - May 2026,110,Drinks,,
1779450090933x307599790237473860,Chana Rice,School Menu - May 2026,79,Meals,,
