unique id,name,Category,description,Ingredients,Calorie Count,nutritional_info,photo
1751068956804x158696559691264600,Wheat Jaggery Cake,Bakery,"Wheat Jaggery Cake – A soft, wholesome cake made with wheat flour and sweetened naturally with jaggery—earthy, comforting, and guilt-free indulgence.","Ashirwad Atta, Jaggery, Curd, Baking Soda, Refined Soybean Oil",310-340,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754874106249x821625218974780400/Wheat%20jaggery%20cake%20copy.png
1751068956804x307346726140140600,French Butter Croissant,Bakery,"French Butter Croissant – Light, flaky, and golden with a rich buttery aroma—perfectly crisp outside and soft within.","Maida, Brown Sugar, Salt, Gluten, Improver, Cow Butter, Fresh Cream, Fresh Yeast",330-370,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754874123136x789938147638019000/Butter%20Croissant%20copy.jpg
1751068956804x656330743180066700,Pain Au Chocolat,Bakery,"Pain au Chocolat – A delicate pastry made with layers of buttery dough and rich dark chocolate, lightly sweetened with brown sugar and baked to golden perfection—a French classic with a melt-in-your-mouth finish.","Maida, Brown Sugar, Dark Chocolate, Salt, Gluten, Improver, Cow Butter, Fresh Cream, Fresh Yeast",430-460,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754874179541x267884610763363680/Pain%20au%20chocolat.png
1751068956804x820523134006956500,Carrot And Raisin Cake,Bakery,"Carrot & Raisin Cake – Moist and gently spiced, this wholesome cake is packed with sweet carrots and juicy raisins—comforting, flavourful, and naturally delicious.","Fresh Grated Carrot, Curd, Brown Sugar, Refined Soybean Oil, Maida, Baking Soda",290-320,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754874192084x177125002257864540/CarrorRaisin%20Cake.png
1751068956805x153486284508529860,"Tomato, Cucumber Cheese Sandwich In Brown Bread",Sandwich,"Fresh Veggie & Cheese Sandwich – Crisp tomato and cucumber layered with creamy mayo, a slice of cheese, and a dash of salt and pepper—simple, fresh, and full of flavour.","Fresh Tomato, Cucumber, Mayonnaise, Cheese Slice, Salt, Pepper",420-440,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873551038x479595192719923760/Veg-Cuc-Tom-Cheese-Sandwich%20copy.jpg
1751068956805x155143217195583100,Paneer Tikka Sandwich In Focaccia Bread,Sandwich,"Paneer Tikka Sandwich – Smoky paneer tikka layered with crisp lettuce, onions, and creamy mayo, seasoned with paprika and salt—all packed into toasted bread for a bold, flavourful bite.","Paneer Tikka, Mayonnaise, Paprika Powder, Salt, Onion, Lettuce",420-500,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873650758x140423968393557090/Paneer%20tikka%20sandwich%20copy.png
1751068956805x173763608008315600,Brown Wheat Brownie With Choco Sauce,Bakery,"Brown Wheat Brownie with Choco Sauce – A rich, fudgy brownie made with wholesome wheat flour, drizzled generously with smooth chocolate sauce—indulgence meets goodness in every bite.","Atta, Sugar, Dark Chocolate, Cocoa Powder, Butter",450-480,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873756714x967697705606347400/Brownie%20with%20choco%20copy.png
1751068956805x388091610578040500,Veg Sandwich In Brown Bread,Sandwich,"Veg Sandwich (Brown Bread) – A hearty brown bread sandwich filled with sautéed capsicum, corn, broccoli, creamy mayo, melted cheese, and a dash of oregano, salt, and pepper—wholesome, flavourful, and satisfying.","Capsicum, Corn, Broccoli, Mayo, Cheese Slice, Oregano Mix, Salt, Pepper",270-350,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873839418x787671876992162700/VegSandwichBrownBread%20copy.png
1751068956805x636647856382776400,Blueberry Muffin,Bakery,"Blueberry Muffin – Soft, fluffy muffin bursting with juicy blueberries—lightly sweet, perfectly baked, and a delightful treat any time of day.","Flour (Maida), Sugar, Baking Powder, Baking Soda, Refined Soybean Oil, Blueberry Filling",400-430,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754873918028x102234934416258080/Blueberry%20Muffin%20copy.png
1751068956805x764116958381420700,Choco Muffin,Bakery,"Choco Muffin – Rich, moist chocolate muffin with melty choco chips in every bite—deeply satisfying and perfect for chocolate lovers.","Flour (Maida), Sugar, Baking Powder, Baking Soda, Refined Soybean Oil, Dark Chocolate",410-440,,//81ea348cb56d39185712220c19b1fd74.cdn.bubble.io/f1754874007518x576600639666719900/Choco%20muffin%20copy.png
